[INFO][cron.go:11]2019/09/01 13:54:31 [cron is starting !!!]
[INFO][cron.go:14]2019/09/01 13:54:32 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:32 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:33 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:33 [clearAllArticle ing !]
[INFO][cron.go:19]2019/09/01 13:54:34 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:34 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:35 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:35 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:36 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:36 [clearAllArticle ing !]
[INFO][cron.go:19]2019/09/01 13:54:37 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:37 [clearAllTag ing !]
[INFO][cron.go:14]2019/09/01 13:54:38 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:38 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:39 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:39 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:40 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:40 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:41 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:41 [clearAllTag ing !]
[INFO][cron.go:14]2019/09/01 13:54:42 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:42 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:43 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:43 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:44 [clearAllTag ing !]
[INFO][cron.go:19]2019/09/01 13:54:44 [clearAllArticle ing !]
[INFO][cron.go:19]2019/09/01 13:54:45 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:45 [clearAllTag ing !]
[INFO][cron.go:14]2019/09/01 13:54:46 [clearAllArticle ing !]
[INFO][cron.go:14]2019/09/01 13:54:46 [clearAllTag ing !]
[INFO][cron.go:14]2019/09/01 13:54:47 [clearAllTag ing !]
[INFO][cron.go:14]2019/09/01 13:54:47 [clearAllArticle ing !]
